date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:36	128/128	U-----	200	untouched ('OK')	text/plain	etag:%22145-1774346949;gz%22	https://nmlc-campaign.net/robots.txt		(from )
10:29:46	97659/97659	U-----	200	untouched ('OK')	text/html	etag:%22146-1774346949;gz%22	https://nmlc-campaign.net/	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/index.html	(from )
10:29:50	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2024%20Mar%202026%2010:29:50%20GMT	https://dotcompatterns.files.wordpress.com/2024/01/paint-small.jpg	C:/My%20Web%20Sites/nmlc-campaign/dotcompatterns.files.wordpress.com/2024/01/paint-small.14.delayed	(from https://nmlc-campaign.net/)
10:29:50	33021/33021	U-----	200	untouched ('')	application/rss+xml	etag:%221b207326a8ab4dcf6e45bebe6855272d%22	https://nmlc-campaign.net/feed/	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/feed/index.html	(from https://nmlc-campaign.net/)
10:29:50	10477/10477	U-----	200	untouched ('')	application/rss+xml	etag:%221b207326a8ab4dcf6e45bebe6855272d%22	https://nmlc-campaign.net/comments/feed/	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/comments/feed/index.html	(from https://nmlc-campaign.net/)
10:29:50	114706/114706	U-----	200	untouched ('OK')	text/css	etag:%221c012-674c3391-315d35e0f9554c26;gz%22	https://nmlc-campaign.net/wp-includes/css/dist/block-library/style.min.css?ver=6.7.5	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/wp-includes/css/dist/block-library/style.mind70e.css	(from https://nmlc-campaign.net/)
10:30:07	11256/11256	U-----	200	untouched ('OK')	text/css	etag:%222bf8-662ac4d0-24bb9d0f2da0307;gz%22	https://nmlc-campaign.net/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://nmlc-campaign.net/)
10:30:07	4186/4186	U-----	200	untouched ('OK')	text/css	etag:%22105a-662ac4d0-a99cd1a7075f1e6a;gz%22	https://nmlc-campaign.net/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.7.5	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/wp-includes/js/mediaelement/wp-mediaelement.mind70e.css	(from https://nmlc-campaign.net/)
10:30:07	69/69	U-----	200	untouched ('OK')	text/css	etag:%2245-663cb6b0-11b85ba188f19d61;;;%22	https://nmlc-campaign.net/wp-content/plugins/pdf-viewer-block/public/css/pdf-viewer-block.css?ver=6.7.5	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/wp-content/plugins/pdf-viewer-block/public/css/pdf-viewer-blockd70e.css	(from https://nmlc-campaign.net/)
10:30:07	3821/3821	U-----	200	untouched ('OK')	text/css	etag:%22eed-663a2c99-5cebc03ec7211ac3;gz%22	https://nmlc-campaign.net/wp-content/themes/varia-wpcom/print.css?ver=1.3.28	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/wp-content/themes/varia-wpcom/printf91e.css	(from https://nmlc-campaign.net/)
10:30:17	105876/105876	U-----	200	untouched ('OK')	text/css	etag:%2219d94-663a2dea-381ab2103887e7c3;gz%22	https://nmlc-campaign.net/wp-content/themes/barnsbury-wpcom/style.css?ver=1.3.28	C:/My%20Web%20Sites/nmlc-campaign/nmlc-campaign.net/wp-content/themes/barnsbury-wpcom/stylef91e.css	(from https://nmlc-campaign.net/)
